id,Country,Birth,Floruit,Both,Code,Latitude,Longitude,,
3,South Africa,57,47,6,ZA,-30.559482,22.937506,,
7,India,51,275,8,IN,20.593684,78.96288,,
21,Canada,51,155,7,CA,56.130366,-106.346771,,
22,United States of America,48,107,9,US,37.09024,-95.712891,,
33,Australia,35,126,3,AU,-25.274398,133.775136,,
34,New Zealand,14,47,0,NZ,-40.900557,174.885971,,
24,Jamaica,13,24,0,JM,18.109581,-77.297508,,
11,Sri Lanka,4,11,1,LK,7.873054,80.771797,,
13,Singapore,4,1,0,SG,1.352083,103.819836,,
8,Pakistan,3,3,0,PK,30.375321,69.345116,,
31,Antigua and Barbuda,3,6,1,AG,17.060816,-61.796428,,
32,Barbados,3,1,0,BB,13.193887,-59.543198,,
37,Guyana,3,13,0,GY,4.860416,-58.93018,,
9,Bangladesh,2,0,0,BD,23.684994,90.356331,,
12,Malaysia,2,0,0,MY,4.210484,101.975766,,
14,Indonesia,2,2,0,ID,-0.789275,113.921327,,
6,Sierra Leone,1,1,0,SL,8.460555,-11.779889,,
17,China,1,8,0,CN,35.86166,104.195397,,
25,Bahamas,1,4,1,BS,25.03428,-77.39628,,
26,Trinidad and Tobago,1,4,0,TT,10.691803,-61.222503,,
27,Grenada,1,1,0,GD,12.1165,-61.679,,
28,Dominica,1,0,0,DM,15.414999,-61.370976,,
29,Saint Kitts and Nevis,1,2,1,KN,17.357822,-62.782998,,
30,Saint Vincent and the Grenadines,1,2,0,VC,12.984305,-61.287228,,
36,Vanuatu,1,0,0,VU,-15.376706,166.959158,,
38,Iran,1,1,0,IR,32.4279,53.688,,
39,Lebanon,1,1,0,LB,33.8547,35.8623,,
1,Egypt,0,4,0,EG,26.820553,30.802498,,
2,Zambia,0,1,0,ZM,-13.133897,27.849332,,
4,Mauritius,0,2,0,MU,-20.348404,57.552152,,
5,Nigeria,0,2,0,NG,9.081999,8.675277,,
10,Myanmar,0,1,0,MM,21.916221,95.955974,,
15,Hong Kong,0,2,0,HK,22.3193039,114.1693611,,
16,Israel,0,2,0,IL,31.046051,34.851612,,
18,Cyprus,0,1,0,CY,35.126413,33.429859,,
19,Malta,0,6,0,MT,35.937496,14.375416,,
23,Belize,0,4,0,BZ,17.189877,-88.49765,,
35,Samoa,0,1,0,WS,-13.759029,-172.104629,,
40,Syria,0,1,0,SY,34.8021,38.9968,,
41,Argentina,0,4,0,AR,-38.416097,-63.616672,,
42,Turkey,0,8,0,TR,38.963745,35.243322,,
