,Country,Birth,Floruit,Code,to fix,lat,lon,
1,Egypt,0,4,EG,,26.820553,30.802498,
2,Zambia,0,1,ZM,,-13.133897,27.849332,
3,South Africa,57,47,ZA,,-30.559482,22.937506,
4,Mauritius,0,2,MU,,-20.348404,57.552152,
5,Nigeria,0,2,NG,,9.081999,8.675277,
6,Sierra Leone,1,1,SL,,8.460555,-11.779889,
7,India,54,275,IN,,20.593684,78.96288,
8,Pakistan,3,3,PK,,30.375321,69.345116,
9,Bangladesh,2,0,BD,,23.684994,90.356331,
10,Myanmar,0,1,MM,,21.916221,95.955974,
11,Sri Lanka,4,11,LK,,7.873054,80.771797,
12,Malaysia,2,0,MY,,4.210484,101.975766,
13,Singapore,4,1,SG,,1.352083,103.819836,
14,Indonesia,2,2,ID,,-0.789275,113.921327,
15,Hong Kong,0,2,HK,,22.3193039,114.1693611,
16,Israel,0,2,IL,,31.046051,34.851612,
17,China,1,8,CN,,35.86166,104.195397,
18,Cyprus,0,1,CY,,35.126413,33.429859,
19,Malta,0,6,MT,,35.937496,14.375416,
20,Ireland,97,52,IE,,53.7797554,-7.3055309,
21,Canada,51,155,CA,,56.130366,-106.346771,
22,United States of America,48,107,US,,37.09024,-95.712891,
23,Belize,0,4,BZ,,17.189877,-88.49765,
24,Jamaica,13,24,JM,,18.109581,-77.297508,
25,Bahamas,1,4,BS,,25.03428,-77.39628,
26,Trinidad and Tobago,1,4,TT,,10.691803,-61.222503,
27,Grenada,1,1,GD,,12.1165,-61.679,
28,Dominica,1,0,DM,,15.414999,-61.370976,
29,Saint Kitts and Nevis,1,2,KN,,17.357822,-62.782998,
30,Saint Vincent and the Grenadines,1,2,VC,,12.984305,-61.287228,
31,Antigua and Barbuda,3,6,AG,,17.060816,-61.796428,
32,Barbados,3,1,BB,,13.193887,-59.543198,
33,Australia,35,126,AU,,-25.274398,133.775136,
34,New Zealand,14,47,NZ,fix locations,-40.900557,174.885971,
35,Samoa,0,1,WS,,-13.759029,-172.104629,
36,Vanuatu,1,0,VU,,-15.376706,166.959158,
37,Guyana,3,13,GY,,4.860416,-58.93018,
38,Iran,1,1,IR,,32.4279,53.688,
39,Lebanon,1,1,LB,,33.8547,35.8623,Assaad Yacoob Kayat birth
40,Syria,0,1,SY,,34.8021,38.9968,
41,Argentina,0,4,AR,,-38.416097,-63.616672,
